Title,EN,RU,Category
"Putin ordered a military operation against Ukraine despite the terrible price that both Ukraine and Russia will surely pay for this war, despite all the voices of reason in and outside of Russia. Russia's official rhetoric claims that this is being done for the purpose of ""self-defense."" But you can't fool history. The Reichstag arson was exposed, and today no exposures are needed - everything is obvious from the start. ","The Russian President ordered the start of a military operation against Ukraine, despite the terrible price that both Ukraine and Russia will undoubtedly pay for this war, despite all the voices of reason that sounded in Russia and beyond its borders. The official rhetoric of the Russian Federation says that this is done for the purpose of self - defense. But you can't fool History. The arson of the Reichstag was uncovered, and at the moment exposure is not required – everything is obvious from the very beginning.","[Путин, Президент России] отдал приказ о начале [военной операции против Украины,войны в  Украине], несмотря на страшную цену, которую несомненно [заплатят, будут вынуждены заплатить] за эту войну и Украина, и Россия, несмотря на все голоса разума, звучавшие в России и за ее [пределами, границами]. Официальная риторика [России, Российской Федерации] [утверждает, заявляет, твердит] что это [делается,  совершаеться, реализуется] с целью [«самозащиты», защиты России, защиты страны]. Но [Историю, ход истории] не обманешь. Поджог Рейхстага был [разоблачен, раскрыт], а [сегодня, в данный момент, в этой ситуации, в данной ситуации, в текущей ситуации] разоблачение не требуются – все [очевидно, однозначно, понятно] с самого начала.",the_truth
"Ukraine is a nation state ruled by a democratic president. Citizens of Ukraine have come to know freedom: democratic elections have been held in Ukraine. Judges in courts are politically independent and are not put under political pressure. They have freedom of expression and people in Ukraine are allowed to openly criticize and talk badly about President of Ukraine. Freedom of assembly allows: peaceful demonstrations, without fear of prosecution by their government. Freedom of the press allows: The press to speak without interference by political leaders and independently and remain factual. Also, Ukrainian people have free access to international the global Internet of Things (IOT) thus can question information. They have earned these the rights of all humans and are willing to defend their rights.  ","Ukraine is governed by a legitimately elected president . The citizens of Ukraine have learned freedom: truly democratic elections were held in Ukraine. Judges are independent and not subject to political pressure. There is freedom of expression: ordinary Ukrainians are able to criticize even their president. Freedom of assembly guarantees the right to peaceful protests.The press has the opportunity to openly and honestly cover any incidents. In addition, people have free access to the international press, and therefore they are able to question the facts. Ukrainians are so used to their freedom that they are ready to die for it.","Украина – это [демократия, демократическая страна, управляется законно избранным президентом ]. [Украинский народ, Украинцы, граждане Украины] познали свободу: в Украине были проведены [подлинно демократические, истинно демократические] выборы. Судьи независимы и не подвержены политическому [давлению, влиянию]. Присутствует свобода самовыражения: [украинцы, граждане Украны, простые украинцы, рядовые украинцы] [способны, имеют возможность] критиковать даже своего президента. Свобода собраний гарантирует право на [демонстрации, мирные протесты, мирные шествия].[Свободная пресса, Свободная журналистика, Пресса] [способна, имеет возможность, в состоянии] [свободно, откыто] и честно [освещать, обсуждать] любые [события, происшествия]. [Кроме того, Помимо того, Также] [у людей есть, люди имеют] свободный доступ к [международной прессе, иностранным источника информации, иностранной прессе, заграничной прессе, международным новостным источникам], и [потому, поэтому, вследствии этого] они способны [ставить под сомнение, подвергать сомнению] [факты, данные, информацию]. Украинцы настолько привыкли к своей свободе, что готовы [умирать, умереть, погибнуть] за неё.",the_truth
"Putin's war in Ukraine is particularly cruel and ruthless. You Russians have the power to end this war. It is not enough to wish or hope for an end. Become active! Show Putin that you are against this war. Standing up for Ukraine means standing up for humanity and human rights. You must become stronger and more convincing, unite. Community makes you strong. A united people is able to free itself from tyranny. It has succeeded in many countries and the Russian people also have this power. Overthrow Putin! Overthrow him to feel what freedom feels like.","Putin's war in Ukraine is particularly brutal. You, the citizens of Russia, are able to put an end to this war. It is not enough just to wish for its end. Don't be accomplices. Show the Kremlin that you are against this war. To speak out now in support of Ukraine means to speak out in support of the entire human race and basic human rights. You have to become stronger and more convincing, unite. It is unity that makes you powerful. A single people is able to free itself from tyranny. It has been possible in many lands, and the Russian people also have this power. Overthrow Putin! Overthrow him to feel what freedom is.","[Война Путина, Путинская война] в Украине особенно [жестокая, безжалостная, трагическая]. Вы, [русские, россияне, жители России, граждане России], в силах положить конец [этой войне, этому геноциду, этому вторжению]. Недостаточно [лишь, просто] [желать её конца, надеяться о её конце, молиться о её конце, надеяться о её завершении, молиться о её завершении, молиться о её конце]. [Не будьте сообщниками, Не будьте пассивными наблюдателями]. Покажите [Путину, вашему правительству, Кремлю, вашим лидерам], что вы против этой войны. [Подняться, Встать, Выступить] сейчас в поддержку Украины означает выступить в поддержку всего [человечества, человеческого рода] и [прав человека, базовых человеческих прав, основных человеческих прав]. Вы должны стать сильнее и убедительнее, объединиться. Именно [единство, единение] делает вас [могущественными, сильным]. Единый народ способен освободиться от [тирании, пыток, угнетения]. Это удавалось во многих [землях, странах], и у [русского народа, русских людей] тоже есть эта сила. Свергните [вашего диктатора!, Путина!] Свергните его, чтобы почувствовать, что такое свобода.",inspiring
"Wars are unleashed by politicians. Very rarely war is supported by the population. War is mentally stressful and expensive and only destroys the economies of the nation states involved. Officials starting these wars, do not tolerate any consequences. Thousands of people, including children, are dying in the war, but never the children of politicians who start these wars, the children of propagandists who call for them. Putin is using its people. The actual reasons for war that are hidden by politicians are: the sexual gratification that comes with having power and for their own enrichment.","It is extremely rare for a war to be supported by the population. They are unleashed by politicians. Wars cost economically and only destroy the economies of the countries involved. The officials who organize these wars do not tolerate any consequences. Thousands of people, including children, die in the war, but never - the children of politicians who start these wars, the children of propagandists calling for them. The Kremlin uses its own people. The real reasons hidden by politicians are the desire for power and their own enrichment.","[Редко какая война, Очень редко война, Крайне редко война] поддерживается населением. Они развязываются политиками. Войны [экономически затратны, затратны экономически] и лишь разрушают экономику [участвующих стран, стран участников, вовлечённых стран]. [Политики, Чиновники] же, [устраивающие, начинающие, объявляюшие] эти войны, не [ощущают, испытывают, терпят]  никаких последствий. Тысячи людей, в том числе дети, гибнут [в, на] войне, но никогда - дети [политиков, чиновников], начинающих эти войны, дети пропагандистов [призывающих на них, на них призывающих, зовущих на них]. [Кремль, Путин, Власть] использует своих людей. [Реальные, Настоящие, Истинные] причины, скрываемые политиками - [жажда власти, стремление к власти] и собственное обогащение.",no_war
 The State depends on the support of its people. Mainly because battles need soldiers. And the best fighters are those who believe that they are supporting for a just cause.,,"[Политики зависят, Государство зависит] от поддержки своего [народа, населения]. [Особенно, Главным образом, B значительной степени, B том числе], потому что [для войны, для сражений, для боёв] нужны солдаты. А лучшие бойцы — это те, [которые верят, которые думают], что они [сражаются за, поддерживают] правое дело.",inspiring
"Politicians try to justify war. They try to influence their own population through lies and deception. Misinformation is used as a weapon. The same messages are constantly being sent. To prevent possible doubts about this message, access to international media is restricted or completely blocked. ","Politicians are trying to justify the war. They are trying to expand their influence with lies and deception, using the lack of information as a weapon. The same postulates are repeated over and over again. To prevent any free-thinking, access to independent sources of information is limited and sometimes completely blocked.","Политики  [пытаются, стараются, находят причины] оправдать войну. Они пытаются [расширить своё влияние, поднять сою популярность, стабилизировать пошатнувшийся рейтинг] с помощью лжи и обмана, используя [недостаток информации, дезинформацию] как оружее. Одни и те же постулаты повторяются [снова и снова, вновь и вновь]. [Для предотвращения, С целью предотвращения, Для пресечения, С целью пресечения, Для подавления, С целью подавления] любых вольнодумствий, доступ к [международным источникам информации, независимым источникам информации, независимым СМИ, международным СМИ] ограничивается [либо, или, или даже, а иногда и] полностью блокируется.",the_truth
"Senseless nationalism is problematic, particularly when you live in an autocratic country. In Russia the population is systematically oppressed. Putin's only goal is to stay in power as long as possible. Your elections are rigged and the results are falsified. Opposition members are enjailed or killed. Putin deceives and oppresses his own people. The Russian citizens are deprived of essential freedoms, like freedom of expression. The Kremlin is afraid of demonstrations. Any criticism of politics is suppressed. Critical people face harsh punishments, some are imprisoned. Independent courts do not exist. Judges are put under pressure, they are also afraid. They judge as [the government, the Kremlin, Putin] wishes. Russia is an [autocracy, an autocratic state]. Putin gradually went from autocrat to dictator. Putin is not only a criminal but a [killer, murderer]. It is on [your hands, the Russian hands, the Russian peoples' hands] to [change, improve, to put an end to] [this, this situation]. Power to the people of Russia.","The exaltation of one's own nation over the rest causes concern, especially among residents of an authoritarian country. In these countries, the population is constantly oppressed. Putin's only goal is to retain power for as long as possible. Your choices are staged. The election results are being falsified. Oppositionists are persecuted and liquidated. Your president is deceiving and oppressing the population of Russia. Even basic freedoms, including freedom of expression, are inaccessible to Russian citizens. The authorities are afraid of demonstrations. Any criticism of his policies is suppressed, and critics are severely punished, some are sent to prison. Independent courts no longer exist. The judges are under pressure, they are intimidated. They judge how it is beneficial to Putin. Autocracy is not a democracy. Putin is a criminal.","Превознесение своей нации над остальными [- это проблема, вызывает беспокойство], особенно  среди жителей [авторитарной, диктаторской, тоталитарной] страны. [В таких , В этих, В подобных] странах население постоянно [подавляется, угнетается]. Единственная цель Путина - [остаться у власти, удержать власть, сохранить власть, продержаться у власти] как можно дольше. Ваши выборы [постановочны, нелегитимны, чисто формальны]. [Их результаты, Результаты этих выборов, Результаты выборов, Результаты голосования] [фальсифицированны, фальсифицируются]. Оппозиционеры преследуются и [устраняются, убиваются, ликвидируются]. [Владимир Путин, Путин, Ваш президент] обманывает и угнетает [своё население, население России, россиян, жителей России]. [Гражданам России, Российским гражданам] недоступны даже [базовые, основные] свободы, [в том числе свобода, включая свободу] самовыражения. [Кремль, Путин, Власть] боиться демонстраций. [Любая критика, Критика] его политики подавляется, а критики [жестоко, безжалостно] наказываются, [некоторые, часть из них] отправляются в тюрьмы. Независимых судов более не существует. На судей [оказывается, осуществляется, ведётся] давление, они запуганы. Они [судят, вынуждены судить, выносят приговоры] [по указке Кремля, в пользу Кремля, в пользу власти, в пользу путинской власти, как это выгодно Кремлю, как это выгодно Путину].  [Диктатура, Самодержавие] - не демократия. Путин - преступник.",the_truth
"Putin's plan is to surround all large cities and deprive the inhabitants of any possibility of escape. These cities can no longer be supplied with food,  water or medical supplies. Injured people cannot be brought to safety.","The plan of the Russian armed forces is to lay siege to all major cities and deprive families of a safe way to escape. These cities can no longer receive food, water or medical care. The wounded cannot be taken to a safe place.","План [Путина, России, вооружённых сил России] состоит в том, чтобы [окружить, осадить] все крупные города и лишить [жителей, граждан, семьи] [какой-либо возможности побега, какого-либо пути побега, безопасного пути к побегу, возможности покинуть зону боевых действий]. Эти города [больше, в данный момент] не могут  получать пищу, воду или [медицинские припасы, медицинскую помощь]. [Раненые люди, Раненые] не могут быть доставлены в безопасное место.",the_truth
"Mariupol is under siege, the power supply has been cut. Because of the Russian shelling, the residents are struggling to survive. ","The city of Mariupol is surrounded by Russian troops, electricity is cut off. Due to Russian shelling, as well as lack of water, peaceful locals must fight for survival.","[Мариуполь, Город Мариуполь] находится [в осаде, в окружение российских войск], отключено [электричество, энергоснабжение, электропитание]. Из-за [российских обстрелов, российских атак, российской жестокости], как и [нехватки, недостатка] воды мирные [жители, граждане, местные жители] должны бороться за выживание.",the_truth
"To protect themselves from bombs, [people, residents] have been living since the beginning of the war - some with their pets - in miserable conditions deep underground, in cellars, metro stations and bunkers. They are cold and hungry and have no access to water.","To protect themselves from shelling, since the beginning of this conflict, residents of Ukraine have been forced, some with their pets, to live in more than modest conditions in bunkers, deep underground. They have to endure cold, hunger, thirst, terror, they have no access to food.","Чтобы защитить себя от [бомб, бомбардировок, ракет, обстрелов, снарядов артиллерии, обстрелов, снарядов], [люди, жители] Украины [с начала, с первого дня] [этой войны, этого конфликта, войны] вынуждены, некоторые со своими [питомцами, домашними животными], [жить, прятаться, спасаться] в [жалких, более чем скромных] условиях [в подвалах, на станциях метро, в бункерах], глубоко под землей. [Они вынуждены терпеть, Им приходится терпеть, Они терпят]  холод, голод, жажду, [страх, ужас], у них нет доступа [к воде, к еде, к электричеству, к товарам первой необходимости, к пище, к продуктам питания, к лекарствам].",the_truth
"The Kremlin's most important,  goal is the conquest of the Ukrainian capital. This city is also being heavily attacked. Recently the theatre of the city has been bombed. Putin claims that Ukrainians did it. How credible can this be? The inhabitants of the capital have carefully wrapped all kinds of statues and other cultural objects to protect them from damage and destruction. Why would they blow up their own theatre?  Because of the very strong resistance, The Kremlindoes not succeed in taking the capital. Therefore, he has hired a group of mercenaries from Chechnya: The Wagner Group (Leaded by Mr. Kadyrov). a particularly brutal crowd  of killers. they have been ordered is to slaughter the Ukrainian President Mr. Zelensky. Mr. Zelensky has survived at least 3 attacks until now]. Two mayors of other cities were take as hostaged by a crowd] and have since disappeared.","Putin's fundamental task is the occupation of Kiev. The capital is also heavily bombed. Recently, the city theater was completely destroyed. Putin continues to claim that Ukrainians did it. How reliable is this statement? Residents of the capital had to wrap monuments and other cultural objects in protective materials to keep them from damage. Why would Ukrainians blow up their own theater? Due to persistent resistance, Putin fails to achieve his goal. Therefore, he hired a group of mercenaries from Chechnya. This is an extremely brutal and absolutely ruthless squad of assassins. Another target is an attempt on the President of Ukraine. Vladimir Zelensky has already survived at least three assassination attempts, which are known at the moment. Two mayors of other cities were captured by the group and since then they have not been seen by anyone.","[Основная, Решающая, Главная, Основополагающая] [цель, задача] [Путина, Кремля] это [завоевание, оккупация, захват] [столицы Украины, Киева]. [Этот город, Столица, Киев] также подвергается сильным [бомбардировкам, атакам, нападениям, обстрелам]. Недавно был полностью разрушен городской театр. Путин продолжает утверждать, что это сделали украинцы. Насколько [достоверно, соответсвует правде, правдоподобно] это [высказывание, заявление, утверждение]? [Столичным жителям, Жителям столицы, Жителям Киева, Киевским жителям] пришлось обернуть памятники и другие [культурные объекты, объекты культуры] в защитные материалы, чтобы [сохранить, сберечь] их от [повреждений, разрушений]. Зачем украинцам [бомбить, уничтожать, разрушать, взрывать] свой собственный театр?  [Из-за, Вследствии] [колоссального, упорного] сопротивления Путину не удается  [достичь своей цели, добиться своей цели, достичь поставленной цели, добиться поставленно цели]. Поэтому он нанял группу наемников из Чечни. Это [особенно, чрезвычайно] жестокая и абсолютно [безжалостная группа, безжалостная группировка, безжалостный отряд] убийц. [Другая, Ещё одна] [цель, задача] - [убийство президента, расправа над президентом, покушение на президента] Украины. [Он, Тот, Владимир Зеленский, Зеленский] уже пережил [по меньшей мере, как минимум] три попытки покушения о которых известно [на данный момент, в настоящее время]. Два мэра других городов были захвачены группой и с тех пор они [исчезли, их никто не видел, пропали без следа, пропали без вести].",the_truth
So the reason for this armament is not defence. It is for the purpose of attack.,"War shows the worst side of man. There are many videos documenting the crimes of the Russian army. In one of them, the military of the Russian army stops the car; the driver gets out, raises his hands, but is immediately shot. In another video, an anti-aircraft car suddenly turns into the oncoming lane and runs over a car driving there. If Vladimir Putin had been asked about this video, he would have said that it was a Ukrainian anti-aircraft gun. But why would Ukrainians want to kill their own people?","Война прявляет [самую худшую, худшую, наихудшую] сторону [людей, человека]. [Есть, Имеется, Существует] множество видео [которые  показывают, на которых показаны, документирующие] преступления российской армии. [В одном из них, На одном из них, Среди них видео где] [российские военные, военные российской армии] останавливают [машину, автомобиль]; водитель выходит, поднимает руки, однако немедленно расстреливается. [В  другом видео, В другой видеозаписи, На другом видео, На другой видеозаписи] зенитная машина, внезапно [съезжает, сворачивает, поворачивает, заворачивает] на [другую сторону дороги, встречную полосу]  и [давит, переезжает] [автомобиль едущий, транспортное средство едущее, машину едущуу, атомобиль ехавший, транспортное средство ехавшее, машину ехавшую] там. Если бы [Путина, диктатора Путина, Президента России, Владимира Путина] спросили об этом видео, он бы [утверждал, сказал, oтветил, заявил], что это украинскиая зенитка. [Однако с чего бы, Но с чего бы, Однако по какой причине, Но по какой причине]  украинцам хотеть [давить, убивать, переезжать] своих собственных [людей, граждан]?",the_truth
"Equally important for Putin is propaganda. He can only stay in power if the population is on his side. He invents his own versions of the truth. Unfortunately, almost always the exact opposite of Putin's message is the truth. It is incredibly sad and also tragic for us in the West that Putin's propaganda is successful. The population does not realise that it is being brainwashed. If Putin were telling the truth, why is he blocking the international media? Please wake up before it is too late!  Because you are on the wrong side of history.","We, the inhabitants of the Earth, support your protests. Even if the government censors the media you read, you can find out the truth through the TOR network. Use a VPN to mask the Internet protocol address. Also look for information in the Telegram.","Мы, [граждане мира, жители Земли], поддерживаем ваши [демонстрации, протесты, протестные акции, акции протеста]. Даже если [Кремль, правительство, Путинская власть, Путин] подвергает цензуре СМИ которые вы [смотрите,читаете], узнать правду [можно, вы можете, возможно] через [систему, сеть, браузер] TOR. [Используйте, Пользуйтесь, Установите и пользуйтесь] VPN для маскировки [IP-адреса, адреса интернет-протокола]. Также ищите информацию в [Telegram, Телеграм].",useful_info
"The United Nations Office of Human Rights stated on Tuesday, March 15, 2022, that since the beginning of the fighting in Ukraine, the deaths of 691 civilians in general have been registered, of whom at least 48 were children. Most likely the figures on victims in the war are incomplete and the real death toll is much higher","The United Nations Office for Human Rights said on Tuesday, March 15, 2022, that since the beginning of the armed conflict in Ukraine, 691 deaths of civilians have been registered, of which at least 48 are children. It is most likely that the figures on the victims of the war are incomplete, and the real death toll is much higher than recorded.","[Отделение по правам человека, Управление по правам человека] при [ООН, Организации Объединенных Наций] заявило во вторник, 15 марта 2022 года, что с начала [боевых действий, вооруженного конфликта, войны] в Украине было [зарегистрировано, задокументировано, выявлено] 691 случаев смерти гражданских лиц, из которых не менее 48- дети. [Предположительно, Предполагается что, Вероятнее всего, Наиболее вероятно что] цифры о [жертвах войны, количестве погибших] [неполные, лишь приблизительные], а реальное [число, число погибших] намного [выше, больше],  чем [сообщалось, зарегистрировано, задокументировано].",the_truth
